Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1,2001A1
World Economic Outlook,Annual percent change,W176NGDP_R%,ICELAND,"Gross domestic product, constant prices",7.60,13.07,5.78,5.78,6.32,0.91,6.08,8.91,6.97,8.86,5.75,4.26,2.15,-2.15,4.13,3.29,6.27,8.55,-0.09,0.26,1.17,1.10,-3.35,0.99,3.65,1.03,5.58,5.35,5.12,5.56,4.73,3.47
World Economic Outlook,Annual percent change,W534NGDP_R%,INDIA,"Gross domestic product, constant prices",5.78,2.32,-0.72,3.59,0.16,9.75,1.54,5.86,5.93,-2.50,3.59,6.55,4.44,6.54,4.57,5.03,5.01,4.79,8.68,7.35,5.89,1.67,4.18,4.98,6.74,7.58,7.12,5.84,4.71,6.76,6.33,6.06
World Economic Outlook,Annual percent change,W536NGDP_R%,INDONESIA,"Gross domestic product, constant prices",6.49,7.00,9.42,11.31,7.63,4.98,6.89,8.90,8.51,5.46,7.91,7.37,-0.33,3.36,6.74,2.47,5.95,4.90,5.78,9.08,9.00,8.93,7.22,7.25,7.54,8.22,7.98,4.54,-13.20,0.23,2.99,3.53
World Economic Outlook,Annual percent change,W429NGDP_R%,"IRAN, I.R. OF","Gross domestic product, constant prices",9.37,12.58,16.88,11.75,7.80,2.90,10.66,3.62,-3.34,-18.45,-14.93,7.89,14.40,10.30,3.33,4.19,-9.35,-2.18,-9.74,4.46,11.24,10.60,6.14,2.10,0.89,2.88,5.52,2.96,1.91,2.60,5.00,5.00
World Economic Outlook,Annual percent change,W178NGDP_R%,IRELAND,"Gross domestic product, constant prices",3.30,4.55,6.27,6.44,3.14,-5.16,1.35,8.12,7.13,3.05,2.48,2.96,1.22,-0.41,3.53,2.88,3.71,4.08,4.05,6.10,7.75,1.86,3.30,2.64,5.76,9.50,7.73,10.70,8.93,8.41,7.40,7.20
World Economic Outlook,Annual percent change,W436NGDP_R%,ISRAEL,"Gross domestic product, constant prices",8.00,11.11,11.90,5.11,4.05,3.50,1.42,1.02,3.66,4.84,3.17,4.28,1.01,2.64,2.28,4.44,3.56,6.24,3.49,1.36,5.73,5.68,6.84,3.39,6.92,6.82,4.72,2.66,1.96,2.21,3.84,3.54
World Economic Outlook,Annual percent change,W136NGDP_R%,ITALY,"Gross domestic product, constant prices",5.31,1.60,2.70,7.11,5.43,-2.65,6.58,3.38,3.68,5.99,4.24,0.55,-0.07,1.24,2.76,2.97,2.53,2.98,3.95,2.87,1.97,1.39,0.76,-0.88,2.21,2.92,1.09,1.82,1.53,1.42,2.70,2.80
World Economic Outlook,Annual percent change,W343NGDP_R%,JAMAICA,"Gross domestic product, constant prices",11.90,3.14,9.25,1.44,-4.62,1.51,-4.75,-0.60,2.37,-0.03,-4.04,4.42,3.08,4.15,0.95,-0.90,7.00,7.70,-3.99,4.70,4.10,0.80,1.80,1.30,1.00,0.20,-1.60,-1.70,-0.50,0.40,n.a.,n.a.
World Economic Outlook,Annual percent change,W158NGDP_R%,JAPAN,"Gross domestic product, constant prices",10.28,4.39,8.41,8.03,-1.23,3.09,3.97,4.39,5.27,5.48,2.82,3.17,3.06,2.32,3.92,4.40,2.90,4.16,6.19,4.83,5.08,3.80,1.02,0.31,0.64,1.47,5.05,1.59,-2.51,0.27,0.86,1.76
World Economic Outlook,Annual percent change,W439NGDP_R%,JORDAN,"Gross domestic product, constant prices",-10.18,1.46,3.80,-5.40,-5.19,12.64,21.22,6.41,10.70,3.50,16.24,4.71,5.60,2.50,1.40,6.10,7.70,2.60,0.30,-13.45,7.11,2.30,17.00,5.84,7.63,3.87,1.01,1.31,2.16,1.98,2.53,3.49
World Economic Outlook,Annual percent change,W916NGDP_R%,KAZAKHSTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-11.00,-5.30,-9.20,-12.60,-8.20,0.50,1.70,-2.50,1.70,3.00,3.50
World Economic Outlook,Annual percent change,W664NGDP_R%,KENYA,"Gross domestic product, constant prices",7.38,6.85,16.12,5.94,2.14,1.47,4.57,10.11,7.97,5.45,5.57,4.10,2.15,1.78,1.79,4.29,7.14,5.94,6.20,4.69,4.67,1.44,-0.80,0.35,2.63,4.43,4.14,2.10,2.08,1.83,2.25,3.31
World Economic Outlook,Annual percent change,W826NGDP_R%,KIRIBATI,"Gross domestic product, constant prices",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.44,-3.48,6.79,-0.71,5.02,-6.61,-1.22,-9.12,18.24,-8.56,2.13,6.92,-1.61,0.80,7.21,6.48,2.60,3.29,6.10,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W542NGDP_R%,KOREA,"Gross domestic product, constant prices",8.76,8.49,4.82,12.80,8.07,6.64,11.76,10.01,9.01,7.06,-2.09,6.47,7.25,10.70,8.25,6.47,10.97,10.99,10.46,6.08,8.98,9.23,5.44,5.49,8.25,8.92,6.75,5.01,-6.69,10.66,6.99,6.49
World Economic Outlook,Annual percent change,W443NGDP_R%,KUWAIT,"Gross domestic product, constant prices",11.75,7.90,5.62,-2.88,-6.52,-1.72,11.72,3.46,5.91,8.24,-20.36,-18.92,-11.75,7.94,5.24,-4.26,8.57,8.14,-10.05,25.89,-26.23,-41.00,77.37,34.23,8.41,1.20,1.20,2.30,2.00,-2.40,0.80,2.00
World Economic Outlook,Annual percent change,W917NGDP_R%,KYRGYZ REPUBLIC,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7.85,-13.88,-15.46,-20.09,-5.42,7.08,9.93,2.30,2.19,2.41,3.15
World Economic Outlook,Annual percent change,W544NGDP_R%,LAO PEOPLE'S DEM.REP,"Gross domestic product, constant prices",9.77,4.99,3.45,8.73,3.64,6.67,2.96,-1.99,1.00,-2.00,10.00,15.33,4.71,3.00,6.44,9.12,4.83,-0.96,-2.10,9.89,6.69,3.99,7.01,5.87,8.15,7.05,6.88,6.53,5.00,6.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W941NGDP_R%,LATVIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-11.10,-35.20,-16.12,2.11,0.33,3.30,6.50,3.60,0.80,4.00,6.00
World Economic Outlook,Annual percent change,W446NGDP_R%,LEBANON,"Gross domestic product, constant prices",6.59,9.23,12.15,4.71,2.40,-30.30,-56.99,67.70,-2.60,2.39,1.47,0.55,-36.79,22.71,44.48,24.30,-6.77,16.73,-28.21,-42.20,-13.42,38.20,4.50,7.00,8.00,6.50,4.00,4.00,3.00,0.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W666NGDP_R%,LESOTHO,"Gross domestic product, constant prices",9.90,7.51,4.87,4.61,6.27,2.09,5.63,-30.43,24.65,-6.41,4.35,1.32,0.98,0.74,8.74,3.66,1.62,5.67,10.86,7.45,5.57,4.07,4.57,3.69,3.71,5.93,9.44,4.58,-3.80,0.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W672NGDP_R%,LIBYA,"Gross domestic product, constant prices",3.86,-5.27,9.11,1.95,22.20,4.03,22.65,8.88,3.87,4.22,-3.81,-12.96,-8.91,3.60,3.59,1.03,-4.44,-1.13,5.96,-1.14,3.45,4.72,-4.20,-4.60,-2.20,-1.60,1.20,1.30,-3.00,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W946NGDP_R%,LITHUANIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5.70,-21.30,-16.20,-9.77,3.29,4.71,7.30,5.10,-3.30,2.10,4.00
World Economic Outlook,Annual percent change,W137NGDP_R%,LUXEMBOURG,"Gross domestic product, constant prices",7.60,3.54,5.47,5.64,4.30,-1.53,5.79,0.35,5.45,4.90,4.21,0.80,1.04,1.89,4.73,3.16,7.53,3.75,10.20,9.85,3.39,5.35,5.82,8.49,4.08,3.50,2.89,7.26,5.02,5.24,5.10,4.99
World Economic Outlook,Annual percent change,W962NGDP_R%,"MACEDONIA, FYR","Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7.50,-1.80,-1.10,1.20,1.40,2.90,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W674NGDP_R%,MADAGASCAR,"Gross domestic product, constant prices",4.14,2.19,-3.21,-2.02,1.62,1.29,-3.99,2.38,-2.47,9.92,0.79,-9.80,-1.90,0.90,1.70,1.20,1.97,1.19,3.39,4.08,3.14,-6.31,1.18,2.10,-0.04,1.68,2.15,3.70,3.90,4.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W676NGDP_R%,MALAWI,"Gross domestic product, constant prices",1.50,14.36,0.17,1.61,7.44,5.53,6.22,4.34,9.73,4.37,0.39,-5.24,2.52,3.69,5.37,4.57,-0.21,1.63,3.18,1.34,5.69,8.73,-7.33,9.69,-10.24,15.45,8.98,4.84,3.07,6.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W548NGDP_R%,MALAYSIA,"Gross domestic product, constant prices",4.95,7.08,9.39,11.70,8.32,0.80,11.56,7.75,6.65,9.35,7.44,6.94,5.94,6.25,7.76,-0.88,1.15,5.39,9.94,9.06,9.01,9.55,8.88,9.90,9.21,9.83,10.00,7.54,-7.50,5.42,6.00,5.80
World Economic Outlook,Annual percent change,W556NGDP_R%,MALDIVES,"Gross domestic product, constant prices",3.84,5.25,2.40,1.56,5.74,-8.01,0.62,-1.40,1.38,7.52,18.80,7.89,7.47,4.41,17.38,13.80,8.60,8.87,8.72,9.29,16.21,7.63,6.29,6.16,6.59,7.15,6.48,6.23,6.00,5.97,n.a.,n.a.
World Economic Outlook,Annual percent change,W678NGDP_R%,MALI,"Gross domestic product, constant prices",13.21,-4.63,-7.18,15.06,-1.82,-0.93,0.93,0.93,3.01,6.17,-1.20,-2.45,6.60,-5.13,1.00,-0.79,8.44,1.19,-0.23,11.76,0.66,-0.93,8.36,-2.36,2.24,6.40,2.08,6.79,3.35,5.25,n.a.,n.a.
World Economic Outlook,Annual percent change,W181NGDP_R%,MALTA,"Gross domestic product, constant prices",12.66,2.46,5.81,9.79,10.03,19.56,17.02,12.20,2.02,10.49,7.05,2.70,0.10,2.60,0.80,2.40,3.80,5.70,6.80,6.74,5.91,5.94,6.73,4.03,4.98,7.28,3.20,3.73,3.05,3.47,n.a.,n.a.
World Economic Outlook,Annual percent change,W867NGDP_R%,MARSHALL ISLANDS,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,20.80,15.40,5.10,-1.70,3.20,0.10,0.10,5.37,2.75,-1.85,-13.06,-5.27,-4.30,-1.75,n.a.,n.a.
World Economic Outlook,Annual percent change,W682NGDP_R%,MAURITANIA,"Gross domestic product, constant prices",9.91,7.50,4.89,4.60,6.27,2.07,5.63,-3.63,-4.40,7.70,4.26,3.73,-2.15,4.94,26.67,2.01,5.83,2.90,3.13,2.23,-1.77,2.61,1.70,5.48,4.61,4.50,4.70,4.80,3.50,4.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W684NGDP_R%,MAURITIUS,"Gross domestic product, constant prices",-0.85,4.47,8.03,11.84,8.02,1.26,22.13,6.55,5.05,5.01,2.79,-7.42,5.50,6.06,0.80,5.67,9.16,11.41,8.64,5.66,4.73,6.36,4.78,6.67,4.32,3.51,5.14,5.49,5.59,5.38,n.a.,n.a.
World Economic Outlook,Annual percent change,W273NGDP_R%,MEXICO,"Gross domestic product, constant prices",6.92,4.16,8.49,8.40,6.12,5.74,4.42,3.39,8.96,9.70,9.23,8.77,-0.06,-4.20,3.61,2.59,-3.68,1.74,1.28,4.20,5.07,4.22,3.63,1.95,4.46,-6.22,5.14,6.78,4.81,3.66,4.53,5.33
World Economic Outlook,Annual percent change,W868NGDP_R%,"MICRONESIA, FED.STS.","Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.50,9.50,3.60,-1.70,-2.70,4.30,-1.20,5.70,-0.93,1.31,-0.50,-3.78,-2.81,-2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W921NGDP_R%,MOLDOVA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-17.50,-29.70,-1.20,-31.20,-1.35,-7.83,1.33,-8.59,-5.00,1.99,4.03
World Economic Outlook,Annual percent change,W948NGDP_R%,MONGOLIA,"Gross domestic product, constant prices",8.73,4.69,3.61,8.91,4.22,6.51,3.90,7.78,7.52,4.26,6.44,8.34,8.34,5.76,6.01,5.72,9.37,3.45,8.54,4.20,-5.62,-9.24,-9.50,-3.00,2.30,6.30,2.60,4.00,3.50,3.50,4.25,4.50
World Economic Outlook,Annual percent change,W686NGDP_R%,MOROCCO,"Gross domestic product, constant prices",5.00,5.82,2.10,3.82,14.30,4.33,7.22,6.69,2.62,4.78,3.42,-2.76,9.62,-0.56,4.34,6.33,8.44,-2.67,10.41,2.37,4.03,6.90,-4.03,-1.01,10.36,-6.58,12.12,-2.04,6.32,0.16,5.16,3.27
World Economic Outlook,Annual percent change,W688NGDP_R%,MOZAMBIQUE,"Gross domestic product, constant prices",9.90,7.48,4.88,4.61,6.26,2.08,5.62,-0.18,1.07,3.07,4.68,5.00,-6.90,-15.70,-6.50,1.00,-2.30,14.70,8.20,6.50,1.00,4.90,-8.10,8.70,7.50,4.30,7.10,11.32,11.97,9.74,n.a.,n.a.
World Economic Outlook,Annual percent change,W518NGDP_R%,MYANMAR,"Gross domestic product, constant prices",1.26,2.44,-0.96,2.60,2.66,4.14,6.10,5.95,6.50,5.20,7.93,6.36,5.61,4.43,4.93,2.85,-1.06,-4.01,-11.35,3.69,2.82,-0.65,9.66,5.92,6.81,7.20,7.00,7.00,7.00,7.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W728NGDP_R%,NAMIBIA,"Gross domestic product, constant prices",5.26,5.24,1.97,3.94,7.14,2.24,1.47,0.03,2.87,3.79,6.62,-10.12,-2.77,-2.12,-0.14,-0.60,5.12,3.62,0.45,1.57,-5.44,8.19,7.13,-1.71,6.35,3.71,2.14,2.64,2.38,2.42,n.a.,n.a.
World Economic Outlook,Annual percent change,W558NGDP_R%,NEPAL,"Gross domestic product, constant prices",2.58,-1.20,3.12,-0.48,6.34,0.93,4.40,3.02,0.00,2.40,-2.31,8.30,3.80,-3.00,4.64,-0.70,11.70,7.30,3.86,7.95,4.56,4.60,3.29,8.20,3.47,5.33,4.04,1.86,4.00,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W138NGDP_R%,NETHERLANDS,"Gross domestic product, constant prices",5.70,4.20,3.30,4.70,4.00,-0.10,5.10,2.30,2.50,2.40,0.90,-0.50,-1.16,1.71,3.29,3.08,2.75,1.42,2.62,4.68,4.11,2.27,2.03,0.76,3.22,2.26,3.04,3.79,3.66,3.49,3.75,3.37
World Economic Outlook,Annual percent change,W353NGDP_R%,NETHERLANDS ANTILLES,"Gross domestic product, constant prices",6.22,6.48,4.69,4.05,5.48,2.66,6.29,7.10,6.70,4.80,7.00,1.18,-1.85,-0.54,-1.83,-2.10,-5.50,1.20,1.50,7.80,1.50,1.80,3.70,0.30,2.40,0.00,-2.40,3.00,3.00,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W196NGDP_R%,NEW ZEALAND,"Gross domestic product, constant prices",4.43,2.74,3.98,7.25,4.19,4.30,-0.57,-2.15,0.72,-3.30,1.68,2.86,2.69,0.11,6.60,1.24,1.77,0.75,-0.31,0.86,-0.25,-1.70,0.87,5.05,5.94,3.97,3.15,2.14,-0.28,2.96,3.88,3.39
World Economic Outlook,Annual percent change,W278NGDP_R%,NICARAGUA,"Gross domestic product, constant prices",1.35,4.93,3.19,6.42,14.19,-0.16,5.21,8.41,-7.85,-26.48,4.61,5.36,-0.82,4.61,-1.57,-4.08,-1.02,-0.71,-12.45,-1.69,-0.13,-0.15,0.40,-0.20,3.30,4.20,4.50,4.50,5.00,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W692NGDP_R%,NIGER,"Gross domestic product, constant prices",9.26,-3.40,-7.57,-10.89,6.25,20.50,15.29,3.48,8.33,13.59,4.89,-0.18,2.17,-3.86,-16.82,7.72,6.35,0.09,6.87,0.96,-1.31,2.49,-6.52,1.45,4.00,2.61,3.42,3.30,8.30,2.28,n.a.,n.a.
World Economic Outlook,Annual percent change,W694NGDP_R%,NIGERIA,"Gross domestic product, constant prices",29.79,18.39,7.29,9.52,5.94,0.18,10.77,-6.71,-6.72,2.63,2.87,-8.39,-0.60,-4.94,5.80,10.49,-1.81,-3.99,9.40,8.46,7.48,6.01,2.64,2.20,-0.62,2.59,6.40,3.06,1.91,1.11,3.94,4.45
World Economic Outlook,Annual percent change,W142NGDP_R%,NORWAY,"Gross domestic product, constant prices",1.97,4.43,5.64,3.85,5.09,4.04,6.91,3.60,-4.83,4.32,4.95,0.96,0.17,3.54,5.87,5.22,3.58,2.03,-0.11,0.92,1.97,3.12,3.27,2.73,5.49,3.85,4.90,4.28,2.12,0.78,3.30,2.30
World Economic Outlook,Annual percent change,W449NGDP_R%,OMAN,"Gross domestic product, constant prices",3.32,1.02,9.23,-13.99,28.24,28.59,15.97,-2.36,-6.36,4.11,6.08,17.10,11.50,15.95,13.90,14.52,2.14,-3.99,5.25,2.98,8.38,6.00,8.53,6.14,3.85,4.83,2.89,6.40,2.95,1.13,n.a.,n.a.
World Economic Outlook,Annual percent change,W564NGDP_R%,PAKISTAN,"Gross domestic product, constant prices",-2.40,0.70,0.41,6.92,5.55,4.50,4.61,3.80,6.44,6.84,7.86,6.27,6.65,5.91,5.06,7.58,5.51,6.49,7.59,4.97,4.45,5.45,7.83,1.93,3.88,5.13,5.01,1.23,3.30,3.10,4.00,4.50
World Economic Outlook,Annual percent change,W283NGDP_R%,PANAMA,"Gross domestic product, constant prices",6.96,9.62,4.58,5.36,2.45,1.74,1.66,1.09,9.79,4.51,12.58,9.21,5.35,-4.49,2.71,4.94,3.57,-1.81,-13.38,1.56,8.10,9.42,8.20,5.46,2.85,1.75,2.42,4.42,3.99,4.12,n.a.,n.a.
World Economic Outlook,Annual percent change,W853NGDP_R%,PAPUA NEW GUINEA,"Gross domestic product, constant prices",11.16,10.64,2.47,8.68,3.84,0.88,-1.63,-4.31,6.05,1.82,-2.32,1.53,0.83,3.48,-0.37,3.98,4.71,2.76,2.92,-1.42,-3.00,9.53,11.80,16.60,4.44,-2.92,3.47,-5.36,3.75,6.07,n.a.,n.a.
World Economic Outlook,Annual percent change,W288NGDP_R%,PARAGUAY,"Gross domestic product, constant prices",3.85,5.39,6.49,7.17,8.22,6.33,7.01,14.00,12.20,9.80,12.41,3.27,-0.98,-3.00,3.07,6.86,0.01,4.33,6.36,5.79,3.10,2.47,1.80,4.14,3.09,4.71,1.27,3.48,3.50,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W293NGDP_R%,PERU,"Gross domestic product, constant prices",5.85,4.18,2.87,5.38,9.25,3.19,1.76,0.20,0.08,5.59,4.71,5.50,0.03,-11.82,5.11,1.99,10.00,8.40,-8.80,-11.70,-3.21,2.90,-1.60,6.39,13.10,7.34,2.49,6.90,0.30,3.50,4.00,5.95
World Economic Outlook,Annual percent change,W566NGDP_R%,PHILIPPINES,"Gross domestic product, constant prices",4.58,4.92,4.76,9.23,5.00,6.41,8.01,6.15,5.63,6.90,4.98,3.42,3.62,1.87,-7.32,-7.31,3.42,4.31,6.75,6.21,3.04,-0.58,0.34,2.12,4.39,4.68,5.85,5.15,-0.54,3.23,4.50,4.50
World Economic Outlook,Annual percent change,W964NGDP_R%,POLAND,"Gross domestic product, constant prices",6.07,7.42,4.68,4.18,7.11,5.94,7.93,7.09,5.40,3.85,-6.00,-10.00,-4.85,5.60,-0.50,3.86,3.49,2.30,3.29,3.81,-7.17,-7.01,2.60,3.78,5.16,6.96,6.05,6.80,4.75,4.10,5.20,5.50
World Economic Outlook,Annual percent change,W182NGDP_R%,PORTUGAL,"Gross domestic product, constant prices",9.29,6.61,8.04,11.16,1.15,-4.35,6.89,5.60,3.39,6.15,6.72,1.26,2.08,-0.20,-1.82,3.00,4.14,5.15,5.40,5.40,4.76,2.34,1.94,-1.41,2.43,2.95,3.55,3.76,3.93,3.00,3.40,3.10
World Economic Outlook,Annual percent change,W453NGDP_R%,QATAR,"Gross domestic product, constant prices",11.75,10.01,11.08,10.78,5.94,5.88,8.35,-7.31,8.86,5.23,-1.02,-3.89,-8.21,-5.33,15.99,-13.03,3.71,0.90,4.70,5.30,-14.64,-0.79,9.70,-0.58,2.35,2.94,4.82,24.04,12.27,7.59,n.a.,n.a.
World Economic Outlook,Annual percent change,W968NGDP_R%,ROMANIA,"Gross domestic product, constant prices",3.79,5.39,2.30,1.58,5.68,5.36,14.16,4.60,8.00,6.61,3.30,2.71,2.80,4.20,6.91,1.16,2.30,0.84,-0.50,-5.83,-7.70,-12.92,-8.70,1.50,3.90,7.10,3.90,-6.10,-5.40,-3.90,1.30,4.00
World Economic Outlook,Annual percent change,W922NGDP_R%,RUSSIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5.54,-19.44,-10.41,-11.62,-4.16,-3.39,0.86,-4.49,3.20,1.50,1.39
World Economic Outlook,Annual percent change,W714NGDP_R%,RWANDA,"Gross domestic product, constant prices",10.99,1.24,0.24,3.41,0.71,1.99,1.84,5.19,9.80,9.40,-3.58,2.47,-2.47,6.04,12.97,4.39,5.50,-0.30,0.30,-5.71,0.42,-4.30,6.60,-8.29,-49.52,32.76,15.84,12.83,9.51,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W862NGDP_R%,SAMOA,"Gross domestic product, constant prices",6.78,13.21,1.72,7.35,-10.62,-3.96,9.50,-1.01,16.88,10.81,-6.11,-9.03,-1.07,0.54,1.34,241.80,4.79,0.51,2.87,5.82,-6.44,-2.44,4.13,1.68,-0.14,6.82,6.13,1.60,1.25,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W716NGDP_R%,SAO TOME & PRINCIPE,"Gross domestic product, constant prices",3.79,5.38,2.30,1.58,5.68,5.38,1.64,23.43,2.89,16.35,-1.08,-10.31,3.09,-3.87,-6.03,9.30,-5.83,-2.93,2.00,3.14,-2.15,1.20,0.70,1.10,2.20,2.00,1.50,1.00,2.50,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W456NGDP_R%,SAUDI ARABIA,"Gross domestic product, constant prices",15.29,14.41,15.35,19.74,15.08,0.26,15.10,5.95,6.69,10.12,7.91,1.65,-10.75,-0.11,-2.22,-4.05,5.56,-1.38,7.57,0.18,10.66,8.39,2.79,-0.64,0.51,0.47,1.39,2.67,1.57,-2.35,2.24,2.04
World Economic Outlook,Annual percent change,W722NGDP_R%,SENEGAL,"Gross domestic product, constant prices",8.27,-0.12,6.43,-5.63,3.30,7.76,7.89,0.77,-6.24,9.64,-3.32,-1.81,14.34,1.36,-5.52,2.87,3.95,3.95,5.07,-1.40,3.88,-0.40,2.21,-2.22,2.87,5.16,5.14,5.05,5.66,5.07,n.a.,n.a.
World Economic Outlook,Annual percent change,W718NGDP_R%,SEYCHELLES,"Gross domestic product, constant prices",9.90,7.48,4.88,4.61,6.26,2.08,5.62,7.88,6.72,16.04,-2.25,-3.88,-2.07,-0.62,4.31,10.29,0.76,4.87,5.33,10.29,7.45,2.74,6.86,6.51,-0.80,-0.62,4.70,4.26,2.30,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W724NGDP_R%,SIERRA LEONE,"Gross domestic product, constant prices",6.44,13.76,-1.06,3.07,4.02,3.01,-3.04,1.44,1.61,4.00,-0.56,1.88,1.78,-1.58,1.70,-6.74,0.13,2.38,2.06,4.95,1.61,-7.99,-9.65,0.05,3.50,-10.03,5.00,-17.60,-0.80,-8.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W576NGDP_R%,SINGAPORE,"Gross domestic product, constant prices",13.72,12.51,13.43,11.53,6.35,4.09,8.38,7.76,8.59,9.27,9.67,9.59,6.94,8.27,8.34,-1.73,-0.17,9.72,11.63,9.62,8.97,7.11,6.57,12.75,11.38,7.98,7.54,8.39,0.40,5.35,5.91,5.98
World Economic Outlook,Annual percent change,W936NGDP_R%,SLOVAK REPUBLIC,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3.70,4.90,6.90,6.60,6.54,4.38,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W961NGDP_R%,SLOVENIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.80,5.33,4.10,3.50,4.60,3.90,3.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W813NGDP_R%,SOLOMON ISLANDS,"Gross domestic product, constant prices",3.90,5.43,2.18,1.55,5.72,-10.70,14.59,7.37,7.12,18.07,-2.66,-1.80,-1.67,3.89,0.17,-3.13,-0.20,8.42,1.25,4.26,1.00,3.00,9.50,2.02,5.21,7.68,0.55,-0.50,1.00,4.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W199NGDP_R%,SOUTH AFRICA,"Gross domestic product, constant prices",5.26,5.24,1.97,3.94,7.14,2.24,1.47,0.03,2.87,3.79,6.62,5.36,-0.38,-1.85,5.10,-1.21,0.02,2.10,4.20,2.39,-0.32,-1.02,-2.14,1.23,3.23,3.12,4.15,2.52,0.63,1.23,3.79,4.00
World Economic Outlook,Annual percent change,W184NGDP_R%,SPAIN,"Gross domestic product, constant prices",4.08,5.00,8.10,7.90,5.70,1.10,3.00,3.30,1.83,0.20,1.22,-0.27,1.26,2.22,1.47,2.61,3.20,5.64,5.16,4.74,3.74,2.27,0.69,-1.20,2.30,2.69,2.45,3.84,3.96,3.75,3.70,3.40
