Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1,2001A1
World Economic Outlook,Annual percent change,W638NGDP_R%,BENIN,"Gross domestic product, constant prices",2.03,1.95,8.93,2.28,-7.54,4.37,4.27,5.68,2.80,4.92,9.69,1.93,1.68,-2.00,0.40,4.33,2.15,-1.50,3.43,-2.85,3.21,4.72,4.01,3.52,4.37,4.60,5.55,5.72,4.51,4.95,n.a.,n.a.
World Economic Outlook,Annual percent change,W514NGDP_R%,BHUTAN,"Gross domestic product, constant prices",5.02,2.66,1.16,1.49,5.14,-3.30,8.95,7.90,7.14,4.80,4.99,10.03,5.35,7.96,7.12,4.00,10.10,17.83,4.08,4.53,5.87,3.89,4.40,4.99,5.05,6.94,6.00,5.70,4.60,6.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W218NGDP_R%,BOLIVIA,"Gross domestic product, constant prices",7.79,4.90,5.80,6.68,5.15,6.60,6.10,4.21,1.61,1.92,0.61,0.92,-4.36,-4.46,-3.18,-3.92,3.28,0.82,4.59,3.79,4.64,5.27,1.65,4.27,4.67,4.68,4.36,4.45,4.65,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W963NGDP_R%,BOSNIA AND HERCEGOVINIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21.17,68.98,30.01,18.00,8.01,n.a.,n.a.
World Economic Outlook,Annual percent change,W616NGDP_R%,BOTSWANA,"Gross domestic product, constant prices",14.86,17.25,29.77,24.77,10.33,8.52,15.90,10.52,14.51,12.99,11.74,8.44,11.90,13.61,9.08,7.21,7.97,11.66,18.92,13.19,7.13,7.42,3.00,2.04,3.41,4.66,6.88,7.76,6.00,5.02,n.a.,n.a.
World Economic Outlook,Annual percent change,W223NGDP_R%,BRAZIL,"Gross domestic product, constant prices",2.62,12.24,10.91,13.52,9.75,4.17,9.78,4.61,4.97,6.81,9.19,-4.40,0.60,-3.40,5.40,7.80,7.50,3.50,-0.10,3.20,-3.69,1.03,-0.54,4.92,5.85,4.23,2.66,3.60,-0.12,0.53,4.02,4.52
World Economic Outlook,Annual percent change,W918NGDP_R%,BULGARIA,"Gross domestic product, constant prices",7.00,6.90,7.70,8.10,7.60,8.80,6.50,6.30,5.60,6.60,5.70,5.30,4.20,3.00,4.60,1.80,5.30,4.70,2.40,-0.50,-9.10,-11.70,-7.30,-1.50,1.72,2.18,-10.88,-7.04,3.50,2.50,4.00,4.47
World Economic Outlook,Annual percent change,W748NGDP_R%,BURKINA FASO,"Gross domestic product, constant prices",9.76,1.01,-21.53,-5.34,8.11,-1.01,-0.65,-1.67,9.51,0.52,4.03,2.75,1.40,-1.31,1.64,11.31,8.56,-1.42,6.63,0.91,-1.49,9.95,2.48,-0.79,1.20,3.97,5.98,4.75,6.17,3.73,n.a.,n.a.
World Economic Outlook,Annual percent change,W618NGDP_R%,BURUNDI,"Gross domestic product, constant prices",9.76,17.54,-10.79,7.18,-0.83,1.01,7.87,12.38,1.23,1.35,-6.83,12.16,-1.05,3.72,0.16,11.78,3.25,5.50,5.03,1.35,3.50,5.00,0.70,-5.89,-3.68,-7.27,-8.36,0.38,4.48,4.72,n.a.,n.a.
World Economic Outlook,Annual percent change,W522NGDP_R%,CAMBODIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.00,9.90,3.50,0.52,9.11,4.84,7.46,7.04,7.67,6.99,0.98,1.00,4.01,n.a.,n.a.
